ID,key,text,language
"1","bookingsearch.building.title","Building","en"
"2","bookingsearch.building.title","Immeuble","fr"
"3","bookingsearch.floor.title","Floor","en"
"4","bookingsearch.floor.title","Étage","fr"
"5","bookingsearch.date.title","Date (YYYY-MM-DD)","en"
"6","bookingsearch.date.title","Date (AAAA-MM-JJ)","fr"
"7","bookingsearch.timerange.title","Time Range","en"
"8","bookingsearch.timerange.title","Plage horaire","fr"
"9","bookingsearch.seatingtype.title","Type de siège","fr"
"10","bookingsearch.button.search","Search a Seat","en"
"11","bookingsearch.button.search","Rechercher un siège","fr"
"12","reviewbooking.header.detail","Booking Details","en"
"13","reviewbooking.header.detail","Renseignements sur la réservation","fr"
"14","bookingsearch.neighbourhood.title","Neighbourhood","en"
"15","bookingsearch.neighbourhood.title","Voisinage","fr"
"16","bookingsearch.building.default","Select Your Building","en"
"17","bookingsearch.building.default","Sélectionnez votre immeuble","fr"
"18","bookingsearch.floor.default","Select Your Floor","en"
"19","bookingsearch.floor.default","Sélectionnez votre étage","fr"
"20","bookingsearch.neighbourhood.default","Select Your Neighbourhood","en"
"21","bookingsearch.neighbourhood.default","Sélectionnez votre voisinage","fr"
"22","bookingsearch.seatingtype.default","Select Your Preferred Seating Type","en"
"23","bookingsearch.seatingtype.default","Sélectionnez votre type de siège préféré","fr"
"24","bookingsearch.date.default","YYYY-MM-DD","en"
"25","bookingsearch.date.default","AAAA-MM-JJ","fr"
"26","bookingsearch.timerange.default","Select a Time Range For Your Booking","en"
"27","bookingsearch.timerange.default","Sélectionnez une plage horaire pour votre réservation","fr"
"28","bookingsearch.button.clear","Clear all","en"
"29","bookingsearch.button.clear","Tout effacer","fr"
"30","bookingsearch.region.title","Region","en"
"31","bookingsearch.region.title","Région","fr"
"32","heading.search","Search for Seating","en"
"33","heading.search","Rechercher un siège","fr"
"34","bookingsearch.region.default","Select Your Region","en"
"35","bookingsearch.region.default","Sélectionnez votre région","fr"
"36","bookingsearch.seatingtype.title","Seating Type","en"
"37","header.profile","My Profile","en"
"38","header.profile","Mon Profil","fr"
"39","header.book","Book a Seat","en"
"40","header.book","Réserver un siège","fr"
"41","header.bookings","My Bookings","en"
"42","header.bookings","Mes réservations","fr"
"43","header.bookingresults","Search Results","en"
"44","header.bookingresults","Résultats de la recherche","fr"
"45","loading.text","Loading","en"
"46","loading.text","Chargement","fr"
"47","loadingdone.text","Done Loading","en"
"48","loadingdone.text","Chargement terminé","fr"
"49","header.reviewbooking","Review Your Booking","en"
"50","header.reviewbooking","Vérifiez votre réservation","fr"
"51","bookingresults.filtertext","Filter by zones","en"
"52","bookingresults.filtertext","Filtrer par zones","fr"
"53","reviewbooking.header.location","Building Information","en"
"54","reviewbooking.header.location","Renseignements sur l'immeuble","fr"
"55","reviewbooking.header.floorplan","Floorplan","en"
"56","reviewbooking.header.floorplan","Plan d'étage","fr"
"57","bookingresults.card.seat","Seat","en"
"58","bookingresults.card.seat","Siège","fr"
"61","bookingresults.chooseaseat","Choose a Seat","en"
"62","bookingresults.chooseaseat","Choisir un siège","fr"
"63","header.back","Return to the previous page","en"
"64","header.back","Retourner à la page précédente","fr"
"65","bookingresults.card.floorplan","View Floorplan","en"
"66","bookingresults.card.floorplan","Voir le plan d'étage","fr"
"67","floorplan.description","Floorplan for","en"
"68","floorplan.description","Plan d'étage pour","fr"
"69","bookingresults.filter.quiet","Filter by Quiet Seating","en"
"70","bookingresults.filter.quiet","Filtrer par sièges en zone silencieuse","fr"
"71","bookingresults.filter.transitional","Filter by Transitional Seating","en"
"72","bookingresults.filter.transitional","Filtrer par sièges en zone transitionnelle","fr"
"73","bookingresults.filter.interactive","Filter by Interactive Seating","en"
"74","bookingresults.filter.interactive","Filtrer par sièges en zone interactive","fr"
"75","header.navigate","Navigate to","en"
"76","header.navigate","Allez vers","fr"
"77","reviewbooking.header.date","Booking Details","en"
"78","reviewbooking.header.date","Renseignements sur la réservation","fr"
"79","reviewbooking.header.bookfor","Are you booking on behalf of another person?","en"
"80","reviewbooking.header.bookfor","Réservez-vous au nom d'une autre personne?","fr"
"81","reviewbooking.book","Book Now","en"
"82","reviewbooking.book","Réservez dès maintenant","fr"
"83","reviewbooking.error.personalbknslimit","You have already booked a seat for yourself on the selected date and time.","en"
"84","reviewbooking.error.personalbknslimit","Vous avez déjà réservé une place pour vous à la date et à l'heure sélectionnées.","fr"
"85","reviewbooking.bookingfor","Booked on behalf of","en"
"86","reviewbooking.bookingfor","Réservé au nom de","fr"
"87","reviewbooking.bookedby","Booked by","en"
"88","reviewbooking.bookedby","Réservé par","fr"
"89","reviewbooking.error.unavailableseat","The seat you are trying to book has already been booked","en"
"90","reviewbooking.error.unavailableseat","Le siège que vous essayez de réserver a déjà été réservé","fr"
"93","bookingresults.noresults.title","No search results found","en"
"94","bookingresults.noresults.title","Aucun résultat de recherche trouvé","fr"
"95","bookingresults.noresults.subtitle","Please adjust your search criteria","en"
"96","bookingresults.noresults.subtitle","Veuillez ajuster vos critères de recherche","fr"
"97","floorplan.zoomin","Zoom into the selected floorplan","en"
"98","floorplan.zoomin","Agrandir le plan d'étage sélectionné","fr"
"99","floorplan.zoomout","Zoom out of the selected floorplan","en"
"100","floorplan.zoomout","Réduire le plan d'étage sélectionné","fr"
"101","reviewbooking.viewfloorplan","View floorplan","en"
"102","reviewbooking.viewfloorplan","Voir le plan d'étage","fr"
"103","reviewbooking.userlookup.gallery.aria","List of users matching your search criteria","en"
"104","reviewbooking.userlookup.gallery.aria","Liste des utilisateurs correspondant à vos critères de recherche","fr"
"105","reviewbooking.userlookup.gallery.item.name.aria","User","en"
"106","reviewbooking.userlookup.gallery.item.name.aria","Utilisateur","fr"
"107","reviewbooking.userlookup.gallery.item.email.aria","Email","en"
"108","reviewbooking.userlookup.gallery.item.name.aria","Courriel","fr"
"109","bookingconfirmation.confirmation.text","You have a new booking!","en"
"110","bookingconfirmation.confirmation.text","Vous avez une nouvelle réservation!","fr"
"111","header.bookingconfirmation","Booking Confirmation","en"
"112","header.bookingconfirmation","Confirmation de réservation","fr"
"113","header.searchforuser","Find a Colleague","en"
"114","header.searchforuser","Trouver un collègue","fr"
"115","searchforuser.missingemail","Unknown Job Title","en"
"116","searchforuser.missingemail","Titre de poste inconnu","fr"
"117","reviewbooking.userlookup.aria","Navigate to user search","en"
"118","reviewbooking.userlookup.aria","Accéder à la recherche d'utilisateurs","fr"
"119","reviewbooking.userlookup.remove","Remove","en"
"120","reviewbooking.userlookup.remove","Supprimer","fr"
"121","reviewbooking.userlookup.removeuser","from this booking","en"
"122","reviewbooking.userlookup.removeuser","de cette réservation","fr"
"123","searchforuser.clear","Clear search criteria","en"
"124","searchforuser.clear","Effacer les critères de recherche","fr"
"125","bookingresults.noresults.backtosearch","Back to Search","en"
"126","bookingresults.noresults.backtosearch","Retour à la recherche","fr"
"127","searchforuser.refinesearch","Search for a colleague by entering the person's first name or last name","en"
"128","searchforuser.refinesearch","Rechercher un collègue en saisissant le prénom ou le nom de la personne","fr"
"129","searchforuser.backtoreview","Back to Review","en"
"130","searchforuser.backtoreview","Retour au sommaire","fr"
"131","searchforuser.nousersfound","No users match your search criteria. Enter person's first name or last name.","en"
"132","searchforuser.nousersfound","Aucun utilisateur ne correspond à vos critères de recherche. Saisir le prénom ou nom de la personne.","fr"
"133","reviewbooking.backtoresults","Back to Results","en"
"134","reviewbooking.backtoresults","Retour aux résultats","fr"
"135","bookingsearch.date.error.past","Past dates cannot be selected","en"
"136","bookingsearch.date.error.past","Les dates passées ne peuvent pas être sélectionnées","fr"
"137","bookingsearch.date.error.future","You can only book 7 days in advance","en"
"138","bookingsearch.date.error.future","Vous ne pouvez réserver que 7 jours à l'avance","fr"
"139","mybookings.filter.upcoming","Upcoming","en"
"140","mybookings.filter.upcoming","À venir","fr"
"141","mybookings.filter.previous.aria","Filter by Previous Bookings","en"
"142","mybookings.filter.previous.aria","Filtrer par réservations précédentes","fr"
"143","mybookings.filter.upcoming.aria","Filter by Upcoming Bookings","en"
"144","mybookings.filter.upcoming.aria","Filtrer par réservations à venir","fr"
"149","mybookings.nobookings","No bookings found","en"
"150","mybookings.nobookings","Aucune réservation trouvée","fr"
"151","mybookings.card.status","Status","en"
"152","mybookings.card.status","État","fr"
"153","mybookings.bookingslist","My Bookings List","en"
"154","mybookings.bookingslist","Ma liste de réservations","fr"
"155","mybookings.card.opendetails.aria","Open the details of the booking","en"
"156","mybookings.card.opendetails.aria","Consulter les détails de la réservation","fr"
"157","bookingdetails.card.bookingmembers","Booking Associations","en"
"158","bookingdetails.card.bookingmembers","Associations de réservation","fr"
"159","bookingdetails.cancel","Cancel Booking","en"
"160","bookingdetails.cancel","Annuler la réservation","fr"
"161","bookingdetails.cancel.error.statusiscancelled","This booking has already been cancelled. Try making a new booking.","en"
"162","bookingdetails.cancel.error.statusiscancelled","Cette réservation a déjà été annulée. Essayez de faire une nouvelle réservation.","fr"
"163","header.bookingdetails","Booking Details","en"
"164","header.bookingdetails","Renseignements sur les réservations","fr"
"165","myprofile.hello","Bonjour","fr"
"166","myprofile.detectedemail","Detected Email","en"
"167","myprofile.detectedemail","Courriel détecté","fr"
"168","myprofile.language","Language Preference","en"
"169","myprofile.language","Préférence linguistique","fr"
"170","myprofile.hello","Hello","en"
"171","myprofile.language.aria","Select your preferred language","en"
"172","myprofile.language.aria","Sélectionnez votre langue de préférence","fr"
"173","splashscreen.card.welcome","Welcome to","en"
"174","splashscreen.card.welcome","Bienvenue à","fr"
"175","splashscreen.card.nav","Open Buro","en"
"176","splashscreen.card.nav","Ouvrir Buro","fr"
"177","bookingdetails.backtomybookings","Back to My Bookings","en"
"178","bookingdetails.backtomybookings","Retour à mes réservations","fr"
"179","mybookings.card.status.booked","Booked","en"
"180","mybookings.card.status.booked","Réservé","fr"
"181","mybookings.card.status.cancelled","Cancelled","en"
"182","mybookings.card.status.cancelled","Annulé","fr"
"183","bookingdetails.cancel.message","Are you sure you'd like to cancel this booking?","en"
"184","bookingdetails.cancel.message","Êtes-vous sûr de vouloir annuler cette réservation?","fr"
"185","bookingdetails.cancel.yes","Yes, cancel this booking","en"
"186","bookingdetails.cancel.yes","Oui, annuler cette réservation","fr"
"187","bookingdetails.cancel.no","No, I don't want to cancel","en"
"188","bookingdetails.cancel.no","Non, je ne veux pas annuler","fr"
"189","splashscreen.card.hint","Où collaborez-vous aujourd’hui?","fr"
"190","myprofile.feedback.title","Your feedback makes a difference.","en"
"191","myprofile.feedback.title","Votre rétroaction fait une différence.","fr"
"192","myprofile.feedback.subtitle","Tell us how we could improve the app or other comments about your experience.","en"
"193","myprofile.feedback.subtitle","Dites-nous comment nous pourrions améliorer l’application ou faites-nous part d’autres commentaires sur votre expérience.","fr"
"194","bookingconfirmation.feedback.close","Close the feedback prompt","en"
"195","bookingconfirmation.feedback.close","Fermer la demande de rétroaction","fr"
"196","bookingresults.noseats.title","All workspaces are booked.","en"
"197","bookingresults.noseats.title","Tous les espaces de travail sont réservés.","fr"
"198","bookingresults.noseats.subtitle","Please try a different date or time","en"
"199","bookingresults.noseats.subtitle","Veuillez essayer une autre date ou heure","fr"
"200","errorpage.title","Something went wrong.","en"
"201","errorpage.subtitle","Please try relaunching the application.","en"
"202","errorpage.subtitle","Veuillez essayer de relancer l’application.","fr"
"203","errorpage.title","Il y a eu un problème.","fr"
"204","myprofile.links.contactus","Contact us","en"
"205","myprofile.links.contactus","Contactez-nous","fr"
"206","myprofile.links.feedback","Send us feedback","en"
"207","myprofile.links.feedback","Envoyez-nous vos commentaires","fr"
"208","myprofile.links.privacyandtoc","Privacy notice & Terms and conditions","en"
"209","myprofile.links.privacyandtoc","Avis de confidentialité et conditions","fr"
"210","myprofile.links.seatingtypeguide","Seating types","en"
"211","myprofile.links.seatingtypeguide","Types de sièges","fr"
"212","contactus.burohelp.title","BURO assistance","en"
"213","contactus.burohelp.title","Aide avec Buro","fr"
"214","contactus.burohelp.ised.subtitle","Email: ISED","en"
"215","contactus.burohelp.ised.subtitle","Courriel : ISDE","fr"
"216","contactus.techissues.title","Technical issues","en"
"217","contactus.techissues.title","Problèmes techniques","fr"
"218","contactus.techissues.subtitle","Email: IT Service Desk","en"
"219","contactus.techissues.subtitle","Courriel : Centre de services TI","fr"
"220","contactus.iptechsupport.title","In-person technical support","en"
"221","contactus.iptechsupport.title","Soutien technique en personne","fr"
"222","contactus.iptechsupport.subtitle","Visit the Digital Lounge","en"
"223","contactus.iptechsupport.subtitle","Visitez le Salon numérique","fr"
"224","bookingconfirmation.feedback.open","Send feedback now","en"
"225","bookingconfirmation.feedback.open","Envoyez de la rétroaction maintenant","fr"
"226","contactus.techissues.tollfree","(toll free)","en"
"227","contactus.techissues.tollfree","(sans frais)","fr"
"228","splashscreen.card.hint","Where are you coworking today?","en"
"229","bookingsearch.seatingtype.preview","Preview seating types","en"
"230","bookingsearch.seatingtype.preview","Aperçu des types de sièges","fr"
"231","bookingsearch.seatingtype.all","All","en"
"232","bookingsearch.seatingtype.all","Tout sélectionner","fr"
"233","splashscreen.card.button.welcome","Welcome","en"
"234","splashscreen.card.button.welcome","Bienvenue","fr"
"235","reviewbooking.search.hint","Enter person's first name or last name","en"
"236","reviewbooking.search.hint","Écrire le prénom ou nom de la personne","fr"
"237","bookingresults.workstationspecifics","Workstation specifics","en"
"238","bookingresults.workstationspecifics","Spécificités du poste de travail","fr"
"239","bookingsearch.seatingtype.any","Any","en"
"240","bookingsearch.seatingtype.any","N'importe quel","fr"
"241","mybookings.filter.cancelled.aria","Filter by Cancelled Bookings","en"
"242","mybookings.filter.cancelled.aria","Filtrer par réservations annulées","fr"
"243","mybookings.filter.previous","Previous","en"
"244","mybookings.filter.previous","Précédemment","fr"
"245","cancelyourbooking.confirmation.text","You have cancelled your booking!","en"
"246","cancelyourbooking.confirmation.text","Vous avez annulé votre réservation!","fr"
"247","header.cancelyourbooking","Cancel your booking","en"
"248","header.cancelyourbooking","Annuler votre réservation","fr"
"249","bookingresults.filter.selectall.label","Select All","en"
"250","bookingresults.filter.selectall.label","Tout sélectionner","fr"
"253","seatingtypes.allinclude","All seating types include:","en"
"254","seatingtypes.allinclude","Tous les types de sièges incluent:","fr"
"255","seatingtypes.allinclude.description","Height adjustable worksurface(s), 2 monitors on adjustable monitor arms, docking station, task light, adjustable task chair and mobile caddy. Exceptions noted in the seating type description.","en"
"256","seatingtypes.allinclude.description","Les types de sièges comprennent des surfaces de travail à hauteur réglable, 2 moniteurs à bras réglables, une station d'accueil, une lampe de travail, une chaise de travail ajustable et un chariot mobile. Les exceptions sont notées dans la description du point de travail.","fr"
"257","seatingtypes.disclaimer","Available seating types vary by neighbourhood.","en"
"258","seatingtypes.disclaimer","Les types de sièges disponibles varient selon les voisinages.","fr"
"363","myprofile.linkssection","Helpful Links Section","en"
"364","myprofile.linkssection","Section des liens utiles","fr"
"365","splashscreen.pagetitle.welcome","Welcome Page","en"
"366","splashscreen.pagetitle.welcome","Page d'accueil","fr"
"367","splashscreen.applanguagesection","Choose App Language Section","en"
"368","splashscreen.applanguagesection","Section pour choisir la langue de l'application","fr"
"369","myprofile.settings","Settings Dashboard","en"
"370","myprofile.settings","Tableau de bord des paramètres","fr"
"371","myprofile.preferencessection","Preferences Section","en"
"372","myprofile.preferencessection","Section des préférences","fr"
"373","bookingsearch.form","Search for Seats Form","en"
"374","bookingsearch.form","Formulaire de recherche de sièges","fr"
"375","bookingresults.resultssection","Search Results Section","en"
"376","bookingresults.resultssection","Section des résultats de recherche","fr"
"377","bookingresults.results.list","Search Results List","en"
"378","bookingresults.results.list","Liste des résultats de la recherche","fr"
"379","reviewbooking.bookingdetailssection","Booking Details Section","en"
"380","reviewbooking.bookingdetailssection","Section des détails de réservation","fr"
"381","reviewbooking.bookingdetails.overviewsection","Booking Overview Section","en"
"382","reviewbooking.bookingdetails.overviewsection","Section de l'aperçu des réservations","fr"
"383","searchforuser.searchsection","Search for a Colleague Section","en"
"384","searchforuser.searchsection","Section pour rechercher un collègue","fr"
"385","searchforuser.list","Colleague Result List","en"
"386","searchforuser.list","Liste de résultats des collègues","fr"
"387","searchforuser.selectcolleague","Select colleague","en"
"388","searchforuser.selectcolleague","Sélectionner un collègue","fr"
"389","bookingconfirmation.detailssection","Confirmed Booking Details Section","en"
"390","bookingconfirmation.detailssection","Section des détails des réservations confirmées","fr"
"391","bookingconfirmation.feedbacksection","Feedback section","en"
"392","bookingconfirmation.feedbacksection","Section de la rétroaction","fr"
"393","floorplan.controlssection","Floorplan Controls Section","en"
"394","floorplan.controlssection","Section des contrôles du plan d'étage","fr"
"395","floorplan.diagramsection","Floorplan Diagram Section","en"
"396","floorplan.diagramsection","Section du schéma du plan d'étage","fr"
"397","mybookings.bookingssection","My Bookings Section","en"
"398","mybookings.bookingssection","Section mes réservations","fr"
"399","mybookings.filter","Filter your Bookings","en"
"400","mybookings.filter","Filtrez vos réservations","fr"
"401","mybookings.list","My Booking Results List","en"
"402","mybookings.list","Liste de résultats de mes réservations","fr"
"403","bookingdetails.statussection","Booking Status Section","en"
"404","bookingdetails.statussection","Section sur l'état des réservations","fr"
"405","cancelyourbooking.detailssection","Cancelled Booking Details Section","en"
"406","cancelyourbooking.detailssection","Section des détails des réservations annulées","fr"
"407","seatingtypes.overviewsection","Overview of Seating Types Section","en"
"408","seatingtypes.overviewsection","Section de l'aperçu des types de sièges","fr"
"409","seatingtypes.list","Seating Types List","en"
"410","seatingtypes.list","Liste des types de sièges","fr"
"411","contactus.contactsection","Ways to Contact Us Section","en"
"412","contactus.contactsection","Section sur les moyens pour nous contacter","fr"
"413","floorplan.image.description","Floorplan Image for Seat:","en"
"414","floorplan.image.description","Image du plan d'étage pour le siège:","fr"
"415","reviewbooking.error.personaloutboundbknsoverlap","Someone has already booked a seat for you on the selected date and time.","en"
"416","reviewbooking.error.personaloutboundbknsoverlap","Quelqu'un a déjà réservé une place pour vous à la date et à l'heure sélectionnées.","fr"
"417","reviewbooking.error.outboundbknslimit","Someone else has already booked a seat for this person on the selected date and time.","en"
"418","reviewbooking.error.outboundbknslimit","Quelqu'un d'autre a déjà réservé une place pour cette personne à la date et à l'heure sélectionnées.","fr"
"419","reviewbooking.error.outboundpersonalbknsoverlap","This person has already booked a seat for themselves on the selected date and time.","en"
"420","reviewbooking.error.outboundpersonalbknsoverlap","Cette personne a déjà réservé une place pour elle-même à la date et à l'heure sélectionnées.","fr"
"421","searchforuser.search","Search for the specified colleague","en"
"422","searchforuser.search","Recherche du collègue spécifié","fr"
"423","reviewbooking.searchforuser","Find a colleague","en"
"424","reviewbooking.searchforuser","Trouver un collègue","fr"
"425","bookingsearch.date.nextmonth","View next month","en"
"426","bookingsearch.date.nextmonth","Voir le mois suivant","fr"
"427","bookingsearch.date.previousmonth","View previous month","en"
"428","bookingsearch.date.previousmonth","Voir le mois précédent","fr"
"450","datepicker.shortdays.monday","Lun","fr"
"451","datepicker.shortdays.tuesday","Mar","fr"
"452","datepicker.shortdays.wednesday","Mer","fr"
"453","datepicker.shortdays.thursday","Jeu","fr"
"454","datepicker.shortdays.friday","Ven","fr"
"455","datepicker.shortdays.saturday","Sam","fr"
"456","datepicker.shortdays.sunday","Dim","fr"
"459","bookingsearch.datepicker.opencalendar","Open calendar to select a date","en"
"460","bookingsearch.datepicker.opencalendar","Ouvrir le calendrier pour sélectionner une date","fr"
"461","bookingsearch.datepicker.keyboardinput","Open calendar to select a date or enter date as Year 4 digits, hyphen, Month 2 digits, hyphen, Day 2 digits or open calendar to select a date.","en"
"462","bookingsearch.datepicker.keyboardinput","Ouvrez le calendrier pour sélectionner une date ou entrez la date sous la forme : année 4 chiffres, trait d'union, mois 2 chiffres, trait d'union, jour 2 chiffres.","fr"
"465","bookingsearch.datepicker.invalidmonth","Enter a valid month","en"
"466","bookingsearch.datepicker.invalidmonth","Entrez un mois valide","fr"
"467","bookingsearch.datepicker.invalidday","Enter a valid day","en"
"468","bookingsearch.datepicker.invalidday","Entrez un jour valide","fr"
"469","reviewbooking.date","Date","en"
"470","reviewbooking.date","Date","fr"
"478","nav.heading","Navigation Bar","en"
"479","nav.heading","barre de navigation","fr"
"482","myprofile.searchdefaults.on.aria","Search Defaults Enabled","en"
"483","myprofile.searchdefaults.on.aria","Recherche avec les données par défaut activée","fr"
"484","myprofile.searchdefaults.off.aria","Search Defaults Disabled","en"
"485","myprofile.searchdefaults.off.aria","Recherche avec les données par défaut désactivée","fr"
"492","myprofile.searchsettings","Search Settings","en"
"493","myprofile.searchsettings","Recherche des paramètres","fr"
"494","mysearchdefaults.heading","My Search Defaults","en"
"495","mysearchdefaults.heading","Mes données de recherche par défaut","fr"
"496","mysearchdefaults.save","Save","en"
"497","mysearchdefaults.save","Sauvegarder","fr"
"498","mysearchdefaults.description","Use the dropdowns to select the fields that you wish to be pre-populated every time you |Search for Seating|. You will still be able to select different values on the screen, but setting the default means that the field will automatically be populated with the specified value. If any of these values change |(i.e. your geolocation)|, you will need to return to this screen to update the value(s) and Save.","en"
"499","mysearchdefaults.description","Utilisez les listes déroulantes pour sélectionner les champs que vous souhaitez voir préremplis chaque fois que vous effectuez une |recherche de siège|. Vous pourrez toujours sélectionner différentes valeurs à l'écran, mais le fait de définir la valeur par défaut signifie que le champ sera automatiquement rempli avec la valeur spécifiée. Si l'une de ces valeurs change |(par exemple, votre lieu de travail)|, vous devrez revenir à cet écran pour mettre à jour la ou les valeurs et enregistrer.","fr"
"500","myprofile.searchsettings.description","Add or edit","en"
"501","myprofile.searchsettings.description","Ajouter ou modifier","fr"
"502","contactus.burohelp.cb.subtitle","Email: Copyright Board","en"
"503","contactus.burohelp.cb.subtitle","Courriel : la Commission du droit d’auteur","fr"
"504","mysearchdefaults.form","Search Defaults Form","en"
"505","mysearchdefaults.form","Formulaire des données par défaut","fr"
"506","mysearchdefaults.overviewsection","Overview of Search Defaults Section","en"
"507","mysearchdefaults.overviewsection","Vue d'ensemble de la section des données par défaut","fr"
"508","header.identifypage.start","You are on the","en"
"509","header.identifypage.end","page","en"
"510","header.identifypage.start","Vous êtes sur la page","fr"
"512","bookingsearch.date.aria","Select a Date For Your Booking","en"
"513","bookingsearch.date.aria","Sélectionnez une date pour votre réservation","fr"
"514","myprofile.links.userguide","BURO User Guide","en"
"515","myprofile.links.userguide","Manuel d’utilisateur BURO","fr"
